Month,member_type,num_trips
2023-August,casual,311130
2023-August,member,460563
2023-December,casual,51672
2023-December,member,172401
2023-July,casual,331358
2023-July,member,436292
2023-June,casual,301230
2023-June,member,418388
2023-May,casual,234181
2023-May,member,370646
2023-November,casual,98392
2023-November,member,264126
2023-October,casual,177071
2023-October,member,360042
2023-September,casual,261635
2023-September,member,404736
2024-April,casual,131810
2024-April,member,283215
2024-February,casual,47163
2024-February,member,176001
2024-January,casual,24460
2024-January,member,120413
2024-March,casual,82550
2024-March,member,219137
2024-May,casual,231018
2024-May,member,378475
