start_station_name,latitude,longtitude,member_type,num_trips
"2112 W Peterson Ave",41.99,-87.68,casual,289
"2112 W Peterson Ave",41.99,-87.68,member,451
"21st St & Pulaski Rd",41.85,-87.72,casual,20
"21st St & Pulaski Rd",41.85,-87.72,member,11
"63rd St Beach",41.78,-87.58,casual,792
"63rd St Beach",41.78,-87.58,member,459
"900 W Harrison St",41.87,-87.67,casual,1
"900 W Harrison St",41.87,-87.65,casual,3382
"900 W Harrison St",41.88,-87.66,casual,1
"900 W Harrison St",41.88,-87.65,casual,2
"900 W Harrison St",41.89,-87.68,casual,1
"900 W Harrison St",41.84,-87.70,member,1
"900 W Harrison St",41.85,-87.69,member,1
"900 W Harrison St",41.86,-87.68,member,1
"900 W Harrison St",41.86,-87.65,member,1
"900 W Harrison St",41.87,-87.67,member,1
"900 W Harrison St",41.87,-87.65,member,9982
"900 W Harrison St",41.88,-87.65,member,10
"900 W Harrison St",41.89,-87.68,member,2
"900 W Harrison St",41.90,-87.62,member,1
"900 W Harrison St",41.92,-87.68,member,1
"Aberdeen St & Jackson Blvd",41.88,-87.66,casual,12
"Aberdeen St & Jackson Blvd",41.88,-87.65,casual,4149
"Aberdeen St & Jackson Blvd",41.88,-87.63,casual,2
"Aberdeen St & Jackson Blvd",41.89,-87.62,casual,1
"Aberdeen St & Jackson Blvd",41.94,-87.69,casual,1
"Aberdeen St & Jackson Blvd",41.87,-87.67,member,2
"Aberdeen St & Jackson Blvd",41.87,-87.65,member,1
"Aberdeen St & Jackson Blvd",41.88,-87.66,member,55
"Aberdeen St & Jackson Blvd",41.88,-87.65,member,12431
"Aberdeen St & Jackson Blvd",41.88,-87.64,member,1
"Aberdeen St & Jackson Blvd",41.93,-87.71,member,1
"Aberdeen St & Jackson Blvd",41.94,-87.69,member,1
"Aberdeen St & Jackson Blvd",41.97,-87.71,member,1
"Aberdeen St & Monroe St",41.88,-87.66,casual,3100
"Aberdeen St & Monroe St",41.88,-87.65,casual,1
"Aberdeen St & Monroe St",41.89,-87.65,casual,1
"Aberdeen St & Monroe St",41.91,-87.63,casual,1
"Aberdeen St & Monroe St",41.99,-87.67,casual,1
"Aberdeen St & Monroe St",41.88,-87.66,member,8201
"Aberdeen St & Monroe St",41.88,-87.65,member,4
"Aberdeen St & Monroe St",41.88,-87.64,member,1
"Aberdeen St & Monroe St",41.88,-87.63,member,1
"Aberdeen St & Monroe St",41.89,-87.66,member,1
"Aberdeen St & Monroe St",41.91,-87.63,member,1
"Aberdeen St & Monroe St",41.98,-87.79,member,1
"Aberdeen St & Randolph St",41.88,-87.65,casual,3772
"Aberdeen St & Randolph St",41.88,-87.64,casual,1
"Aberdeen St & Randolph St",41.89,-87.65,casual,1
"Aberdeen St & Randolph St",41.90,-87.67,casual,1
"Aberdeen St & Randolph St",41.95,-87.66,casual,1
"Aberdeen St & Randolph St",41.87,-87.63,member,1
"Aberdeen St & Randolph St",41.88,-87.66,member,1
"Aberdeen St & Randolph St",41.88,-87.65,member,8388
"Aberdeen St & Randolph St",41.89,-87.67,member,1
"Aberdeen St & Randolph St",41.89,-87.66,member,1
"Aberdeen St & Randolph St",41.89,-87.65,member,3
"Aberdeen St & Randolph St",41.90,-87.67,member,1
"Ada St & 113th St",41.69,-87.66,casual,20
"Ada St & 113th St",41.69,-87.66,member,9
"Ada St & Washington Blvd",41.88,-87.66,casual,2167
"Ada St & Washington Blvd",41.88,-87.66,member,5413
"Ada St & Washington Blvd",41.88,-87.65,member,2
"Ada St & Washington Blvd",41.92,-87.65,member,1
"Ada St & Washington Blvd",41.96,-87.70,member,1
"Adler Planetarium",41.87,-87.62,casual,2
"Adler Planetarium",41.87,-87.61,casual,14163
"Adler Planetarium",41.89,-87.61,casual,1
"Adler Planetarium",41.84,-87.61,member,1
"Adler Planetarium",41.86,-87.61,member,1
"Adler Planetarium",41.87,-87.62,member,1
"Adler Planetarium",41.87,-87.61,member,5756
"Adler Planetarium",41.88,-87.65,member,1
"Adler Planetarium",41.88,-87.63,member,2
"Adler Planetarium",41.90,-87.62,member,1
"Albany Ave & 16th St",41.86,-87.70,casual,90
"Albany Ave & 16th St",41.86,-87.70,member,35
"Albany Ave & 26th St",41.84,-87.70,casual,119
"Albany Ave & 26th St",41.84,-87.70,member,93
"Albany Ave & Belmont Ave",41.94,-87.71,casual,364
"Albany Ave & Belmont Ave",41.94,-87.71,member,503
"Albany Ave & Bloomingdale Ave",41.91,-87.71,casual,2161
"Albany Ave & Bloomingdale Ave",41.91,-87.70,casual,2
"Albany Ave & Bloomingdale Ave",41.88,-87.67,member,1
"Albany Ave & Bloomingdale Ave",41.91,-87.71,member,3866
"Albany Ave & Bloomingdale Ave",41.91,-87.70,member,2
"Albany Ave & Douglas Blvd",41.86,-87.70,casual,58
"Albany Ave & Douglas Blvd",41.86,-87.70,member,23
"Albany Ave & Montrose Ave",41.96,-87.71,casual,770
"Albany Ave & Montrose Ave",41.95,-87.75,member,1
"Albany Ave & Montrose Ave",41.96,-87.71,member,1505
"Altgeld Gardens",41.66,-87.60,casual,25
"Altgeld Gardens",41.66,-87.60,member,3
"Archer (Damen) Ave & 37th St",41.83,-87.68,casual,257
"Archer (Damen) Ave & 37th St",41.83,-87.68,member,476
"Archer Ave & 43rd St",41.82,-87.70,casual,73
"Archer Ave & 43rd St",41.82,-87.70,member,18
"Archer Ave & Homan Ave",41.81,-87.71,casual,5
"Archer Ave & Homan Ave",41.81,-87.71,member,2
"Artesian Ave & 55th St",41.79,-87.69,casual,61
"Artesian Ave & 55th St",41.79,-87.69,member,48
"Artesian Ave & 71st St",41.76,-87.68,casual,16
"Artesian Ave & 71st St",41.76,-87.68,member,20
"Artesian Ave & Hubbard St",41.89,-87.69,casual,1814
"Artesian Ave & Hubbard St",41.98,-87.69,casual,1
"Artesian Ave & Hubbard St",41.82,-87.60,member,1
"Artesian Ave & Hubbard St",41.89,-87.69,member,4157
"Artesian Ave & Hubbard St",41.89,-87.65,member,1
"Artesian Ave & Hubbard St",41.90,-87.69,member,1
"Artesian Ave & Hubbard St",41.90,-87.63,member,1
"Artesian Ave & Hubbard St",41.91,-87.66,member,1
"Artesian Ave & Hubbard St",41.94,-87.66,member,1
"Artesian Ave & Marquette Rd",41.77,-87.68,casual,24
"Artesian Ave & Marquette Rd",41.77,-87.68,member,58
"Ashland Ave & 13th St",41.87,-87.67,casual,434
"Ashland Ave & 13th St",41.71,-87.72,member,1
"Ashland Ave & 13th St",41.86,-87.67,member,1
"Ashland Ave & 13th St",41.87,-87.67,member,3154
"Ashland Ave & 13th St",41.94,-87.68,member,1
"Ashland Ave & 50th St",41.80,-87.66,casual,95
"Ashland Ave & 50th St",41.80,-87.66,member,255
"Ashland Ave & 63rd St",41.78,-87.67,casual,1
"Ashland Ave & 63rd St",41.78,-87.66,casual,52
"Ashland Ave & 63rd St",41.78,-87.66,member,55
"Ashland Ave & 66th St",41.77,-87.66,casual,43
"Ashland Ave & 66th St",41.77,-87.66,member,45
"Ashland Ave & 74th St",41.76,-87.66,casual,35
"Ashland Ave & 74th St",41.76,-87.66,member,41
"Ashland Ave & 78th St",41.75,-87.66,casual,52
"Ashland Ave & 78th St",41.75,-87.66,member,41
"Ashland Ave & Archer Ave",41.84,-87.67,casual,749
"Ashland Ave & Archer Ave",41.84,-87.66,casual,1
"Ashland Ave & Archer Ave",41.84,-87.67,member,1128
"Ashland Ave & Augusta Blvd",41.88,-87.67,casual,1
"Ashland Ave & Augusta Blvd",41.90,-87.67,casual,2052
"Ashland Ave & Augusta Blvd",41.88,-87.65,member,1
"Ashland Ave & Augusta Blvd",41.89,-87.67,member,1
